"latitude","longitude","avgGDD5"
35.556,-83.495,1790.957727
35.732,-83.447,3419.801136
35.761,-83.357,3457.258977
35.948,-83.207,3627.580455
36.05,-94.167,3861.805568
36.081,-79.96,3852.535568
36.56,-80.746,3270.182955
37.89,-79.284,3004.647727
38.997,-84.714,3254.657386
39.004,-84.626,3218.064432
39.022,-84.629,3224.137727
40.117,-88.233,3039.97625
40.314,-76.83,2923.825114
41.925,-74.864,2081.636364
42.926,-79.25,2419.697841
43.258,-81.833,2328.688068
43.628,-79.329,2487.148636
43.644,-79.466,2433.427386
43.66,-79.917,2158.438523
43.668,-81.019,2073.3275
43.79,-79.189,2342.008636
43.792,-79.194,2330.275227
43.815,-79.977,2096.327273
43.832,-80.438,1918.231818
43.856,-79.184,2257.512045
43.899,-80.315,1901.610682
43.943,-78.434,2111.946932
44.02,-77.737,2199.066364
44.076,-68.633,2035.829432
44.422,-76.911,2136.402386
45.179,-81.541,1866.062727
45.385,-77.795,1603.450455
45.5,-77.683,1783.801477
45.6,-80.383,1918.895455
46.5,-63.399,1782.074205
48.036,-83.356,1392.504545
48.75,-94,1743.016932
48.775,-86.61,1325.853523
48.037,-83.299,1390.879886
44.254,-72.519,1957.232159
44.234,-72.51,1988.921364
44.884,-73.283,2268.023068
44.885,-73.335,2243.889318
44.133,-72.616,1741.418864
44.263,-72.506,1987.165682
44.282,-72.544,1858.522159
44.268,-72.571,2050.600909
44.356,-72.457,1958.107386
44.826,-72.538,1444.236023
43.418,-72.462,2036.521477
44.703,-72.338,1825.500795
44.696,-72.001,1761.707159
43.913,-72.834,1897.889886
44.191,-72.824,2038.938068
43.277,-72.414,2239.719886
44.246,-72.179,1824.00125
43.91,-73.066,2135.113977
44.153,-72.427,1866.446932
44.272,-72.455,2007.3575
44.214,-72.573,1930.476477
44.336,-72.748,2127.906477
44.503,-72.49,1820.65125
44.205,-72.475,1891.667159
44.155,-72.312,1699.019545
44.35,-72.355,1940.794205
44.499,-73.208,2344.253068
42.885,-72.558,2267.01125
44.195,-72.5,2025.227841
42.783,-72.915,1778.272727
44.23,-72.457,1842.836136
44.449,-72.249,1682.718182
44.469,-72.214,1652.758864
44.392,-72.439,1891.665
44.015,-73.167,2200.904886
44.331,-72.95,1831.242955
44.995,-71.805,1722.029545
44.425,-72.412,1875.866364
44.935,-72.493,1681.321023
44.972,-72.386,2016.033182
44.982,-72.385,2016.000568
44.366,-72.775,2098.737159
43.55,-72.854,1646.483068
43.558,-72.797,1427.527614
43.675,-72.809,1693.720795
43.78,-73.096,2270.312273
43.84,-72.969,1424.884318
44.11,-73.002,1962.595909
44.049,-73.092,2100.928068
44.187,-72.658,1943.342273
43.906,-72.147,2119.757727
44.198,-72.559,1885.390227
44.425,-73.212,2301.42
44.911,-72.275,1846.056364
44.391,-72.246,1692.613977
44.469,-73.215,2334.877955
44.523,-72.224,1636.744773
42.757,-72.931,1947.357841
42.801,-71.818,2136.347045
43.792,-72.676,2012.706023
44.025,-73.394,2381.440455
44.558,-71.786,1781.586591
44.391,-72.444,1891.665
29.115,-82.571,5960.709205
43.401,-72.411,2224.579773
44.66,-71.665,1757.71125
44.321,-73.065,2019.665909
43.974,-73.034,1911.049091
43.939,-72.958,1631.676818
44.352,-72.353,1940.794205
44.285,-72.575,2033.578977
44.244,-72.549,2045.414205
44.311,-72.574,2000.164432
42.927,-72.71,2104.076136
44.741,-72.041,1574.196477
44.955,-71.898,1673.320795
44.87,-72.526,1613.480682
44.69,-72.361,1863.871591
44.574,-72.206,1700.396705
44.576,-72.198,1647.551591
44.798,-72.975,2061.123636
44.336,-73.021,2012.900568
43.876,-72.919,1785.994773
44.921,-71.976,1684.656591
44.854,-73.34,2265.635568
43.785,-72.44,2066.225455
44.55,-72.536,1881.104773
45.006,-71.917,1586.097955
43.635,-73.373,2395.462045
43.635,-72.456,2055.709432
44.132,-73.111,2197.8775
44.618,-72.049,1723.696136
44.112,-72.987,1896.574432
44.047,-73.118,2207.656136
44.473,-72.568,1625.340341
44.31,-73.261,2308.433977
44.477,-73.196,2244.1925
44.781,-73.145,2267.867273
44.198,-73.343,2334.086023
44.306,-72.697,2100.942273
44.789,-71.823,1764.452955
44.536,-72.005,1979.164886
44.322,-73.027,1898.286136
43.482,-72.386,2210.927273
44.062,-73.282,1965.853409
43.425,-72.51,1981.825341
44.588,-73.191,2276.607273
44.072,-72.566,1897.129091
44.31,-72.573,1957.286023
44.205,-72.96,1879.602955
42.73,-72.549,2068.022273
43.629,-73.271,2255.549659
42.738,-72.51,2317.257386
43.356,-72.407,2181.215909
43.414,-72.405,2226.378977
44.615,-73.204,2262.907045
44.838,-72.266,1922.643977
47.076,-70.906,1616.567955
43.581,-73.128,1990.432955
42.744,-72.611,2123.245341
42.758,-72.633,2009.935682
43.586,-73.117,1672.307273
44.953,-72.883,2135.415568
43.297,-72.484,2176.923409
43.147,-72.888,1855.547841
44.343,-72.304,1772.199091
43.716,-73.187,2211.167386
44.374,-72.368,1875.300568
44.324,-72.31,1710.341705
44.397,-73.236,2332.742273
43.664,-73.393,2302.565682
44.464,-73.202,2264.056136
43.622,-72.935,1992.939091
44.327,-72.987,2083.644432
44.332,-72.95,1831.242955
43.611,-73.18,2258.275114
44.476,-73.213,2298.036477
44.491,-73.111,2240.536364
42.879,-73.08,1682.986136
45.789,-65.794,1708.585909
45.154,-66.911,1715.885341
45.799,-65.096,1724.171364
47.538,-64.969,1655.015682
45.819,-65.026,1586.372727
47.557,-64.938,1653.316591
47.291,-65.052,1692.941705
45.838,-65.035,1680.570227
45.286,-67.279,1800.829886
47.493,-65.244,1610.349886
47.345,-65.046,1691.392273
45.318,-67.207,1713.000341
45.157,-66.722,1677.013068
47.585,-65.288,1601.396023
45.141,-63.029,1718.580568
45.208,-62.874,1692.930568
45.517,-64.328,1793.233523
45.088,-63.714,1729.7425
45.433,-63.715,1808.337614
45.573,-63.76,1629.068068
46.34,-62.47,1745.725
46.955,-64.075,1706.660568
46.41,-62.754,1762.966705
46.326,-62.8,1755.92375
46.457,-62.483,1715.834773
46.445,-62.241,1694.529773
46.974,-64.089,1712.606932
46.08,-62.791,1727.734318
46.294,-62.7,1764.997045
46.415,-62.899,1770.436591
46.992,-64.023,1709.033864
46.466,-62.041,1725.232159
46.428,-62.893,1773.074773
46.367,-62.331,1733.109545
46.385,-62.859,1775.625227
46.334,-62.766,1735.400795
41.344,-70.815,2565.48
35.587,-83.842,3480.314659
42.305,-89.157,2596.268182
41.282,-77.723,2118.672386
45.074,-93.19,2478.335341
46.135,-89.888,1752.640682
43.041,-89.43,2425.892386
44.861,-93.003,2550.810455
35.438,-83.554,3318.392045
35.654,-83.437,1546.767159
45.077,-64.494,1922.911591
39.918,-86.186,3010.405568
42.35,-73.163,1807.574659
44.367,-71.55,1873.406023
44.383,-71.528,1846.053523
44.808,-71.738,1712.423182
41.909,-70.78,2572.172727
40.712,-77.934,2531.155909
43.04,-89.43,2425.892386
35.952,-83.895,3803.099205
44.49,-63.87,1837.803523
45.83,-64.21,1798.839091
46.57,-60.68,1294.649318
44.38,-64.52,1889.169091
45.73,-64.21,1770.951136
45.62,-63.93,1776.141136
45.44,-63.46,1791.004659
44.98,-63.22,1811.146364
44.27,-64.84,1841.799773
44.57,-63.71,1797.145341
44.702,-63.855,1828.028295
45.47,-63.07,1761.254091
44.28,-64.27,1829.891932
45.28,-62.66,1692.41
45.35,-63.16,1747.224432
44.38,-64.32,1867.100227
46.33,-61.1,1706.636818
44.97,-62.66,1666.712841
44.69,-63.15,1785.966591
44.9,-63.83,1790.395909
44.55,-63.64,1792.834659
45.38,-63.16,1750.365
44.72,-73.08,2152.65375
44.49,-63.92,1843.311364
44.77,-63.85,1789.328409
44.67,-63.26,1798.681932
45.09,-63.4,1836.103409
45.42,-63.21,1747.749773
44.48,-64.63,1898.604205
44.37,-64.58,1847.367386
45.1,-64.25,1907.800341
45.67,-62.98,1795.11875
45.27,-61.29,1580.085568
45.88,-61.92,1729.153295
45.05,-63.21,1773.0975
45.74,-61.42,1552.781818
45.67,-62.79,1826.530227
45.66,-62.52,1839.434773
45.04,-63.15,1790.375114
45.73,-63.87,1819.693523
45.81,-62.56,1808.082614
45.29,-62.66,1699.224886
44.68,-65.78,1714.181591
45.37,-63.27,1818.794773
44.25,-66.37,1727.120909
45.42,-62.67,1741.475909
43.86,-64.83,1792.62375
45.47,-64.1,1627.177386
44.87,-63.62,1855.035
44.65,-63.58,1835.273977
47.53,-53.9,1282.029205
45.02,-62,1658.240568
44.6,-63.52,1830.556364
45.52,-62.67,1797.965682
43.8,-65.3,1755.62625
50.272,-64.15,1030.865455
50.5,-63.25,953.7890909
50.322,-64.421,1019.37875
50.311,-64.497,1022.274773
44.764,-92.817,2456.592614
44.797,-92.824,2422.364205
44.828,-92.944,2481.189545
44.926,-92.8,2480.460114
44.971,-92.903,2431.005909
44.981,-92.993,2425.118864
45.007,-92.786,2438.633523
45.019,-93.146,2482.737045
45.188,-93.635,2395.664432
45.317,-93.581,2352.77375
44.847,-92.791,2395.539205
44.68,-71.709,1673.257955
44.316,-72.848,1876.80125
42.787,-76.094,2071.326364
40.73,-77.763,2302.052955
46.322,-63.413,1675.066591
47.531,-93.469,1778.109545
39.96,-87.066,2998.829545
42.519,-74.145,1996.179659
41.403,-78.026,2345.392045
43.777,-73.966,1860.712045
35.745,-82.278,1723.765682
42.888,-72.862,1844.56625
43.414,-72.706,1914.20625
41.978,-89.357,2662.108409
42.014,-88.252,2671.754318
44.374,-68.071,1983.551591
44.127,-68.351,2012.016364
46.082,-89.821,1755.222955
44.156,-68.666,2053.848864
44.003,-71.42,1742.140909
43.078,-70.837,2350.715682
43.085,-70.837,2342.437159
33.539,-83.363,4522.557159
39.486,-77.807,3188.37875
42.053,-71.817,2333.288295
42.199,-73.256,1998.166818
42.242,-73.282,1942.395682
42.315,-71.01,2705.190455
42.335,-73.175,1883.903523
42.455,-71.304,2567.6775
42.496,-71.626,2484.444545
42.614,-71.962,2090.282159
42.677,-71.673,2303.811818
42.735,-70.791,2488.478864
42.744,-70.796,2485.526705
42.832,-71.512,2373.218182
43.791,-71.018,2092.635795
44.01,-71.268,1803.432045
45.006,-68.64,1993.135795
46.134,-69.137,1641.602045
44.374,-71.521,1837.629659
42.181,-73.365,2344.785682
42.693,-71.592,2418.578523
42.745,-70.827,2494.047955
42.767,-70.917,2479.731591
43.09,-70.852,2355.002045
43.678,-70.857,2060.884318
44.345,-71.22,1664.88
44.433,-71.32,1566.878409
42.711,-70.78,2495.031818
44.367,-71.553,1873.406023
44.485,-71.338,1603.121023
29.275,-81.709,6067.236591
32.481,-83.572,4883.726591
33.407,-83.475,4559.020909
33.659,-83.293,4486.265795
33.902,-83.382,4384.846364
39.247,-84.276,3168.248864
41.81,-72.68,2729.265341
41.866,-70.685,2530.635114
41.943,-70.863,2617.903409
41.962,-73.267,2035.135227
42.015,-71.766,2403.208182
42.032,-72.745,2581.44125
42.067,-73.211,2041.852614
42.119,-73.182,1939.298977
42.182,-73.269,2108.655
42.194,-73.259,2073.986136
42.258,-70.873,2678.000568
42.312,-70.953,2703.917841
42.315,-71.034,2704.30625
42.317,-70.968,2696.581477
42.329,-70.927,2696.483977
42.333,-70.896,2691.435795
42.459,-72.641,2419.069773
42.51,-72.212,2229.154773
42.546,-72.09,2189.771477
42.586,-71.586,2459.854773
42.596,-72.037,2137.600909
42.601,-73.2,1693.877727
42.604,-71.564,2414.111591
42.628,-71.523,2435.408295
42.641,-71.528,2442.977273
42.66,-71.707,2408.249886
42.661,-71.562,2441.115795
42.682,-71.746,2398.756932
42.683,-71.908,1999.399091
42.684,-71.64,2391.118182
42.689,-71.552,2439.212727
42.697,-71.893,1969.215455
42.705,-71.928,2069.949773
42.707,-71.924,2052.870909
42.722,-71.607,2374.848523
42.738,-70.792,2492.457614
42.743,-70.792,2485.526705
44.008,-71.413,1703.229091
44.062,-71.659,1646.688409
44.096,-71.809,1724.8375
44.208,-69.828,2107.453864
44.253,-71.5,1640.138636
44.285,-72.576,2033.578977
44.311,-72.573,1957.286023
44.438,-71.307,1576.845568
44.777,-71.75,1758.391136
44.824,-71.254,1660.549091
44.828,-71.112,1631.275341
45.261,-68.219,1910.777614
45.516,-68.337,1911.120455
45.52,-68.222,1862.626364
44.938,-71.329,1411.259205
42.281,-70.899,2695.360682
42.581,-71.607,2483.856136
42.389,-72.528,2435.624545
43.944,-71.701,1929.294205
43.702,-72.29,2150.231364
43.29,-79.938,2334.404432
43.289,-79.938,2334.404432
46.141,-63.272,1781.596477
46.188,-63.235,1824.477159
46.212,-63.463,1786.071364
46.218,-63.263,1808.216136
46.163,-63.229,1803.760455
46.196,-63.249,1813.669773
43.284,-79.94,2334.404432
43.286,-79.939,2334.404432
43.288,-79.937,2334.404432
28.538,-81.379,6408.738182
37.718,-88.865,3601.957955
39.556,-88.246,3229.002955
35.639,-78.48,4133.164545
35.249,-78.493,4278.647386
36.073,-79.79,3881.097386
35.231,-80.846,4149.968523
35.649,-82.231,3325.277727
35.772,-78.639,4088.246705
35.693,-82.385,2007.7275
35.427,-82.557,3282.534205
35.216,-78.508,4283.928409
35.365,-80.081,4137.706932
35.613,-77.366,4333.530795
34.929,-77.083,4558.549545
33.922,-78.02,4676.628068
35.899,-80.557,3754.689659
34.734,-78.64,4463.872386
34.707,-78.554,4462.993295
35.729,-78.806,4059.65375
35.439,-80.049,4139.012955
35.664,-78.547,4123.16375
36.376,-77.056,4034.860341
35.78,-78.643,4068.623977
36.264,-82.128,2901.645341
35.559,-77.424,4324.052841
35.195,-78.487,4296.225227
34.92,-78.384,4397.304886
34.517,-77.837,4575.613068
34.755,-77.426,4550.395341
35.513,-77.1,4396.630568
34.8,-78.58,4439.475455
35.507,-78.741,4197.967841
35.977,-78.907,3991.014886
35.698,-79.29,4038.194886
35.791,-78.781,4015.760795
35.461,-76.918,4444.554659
35.606,-77.374,4323.04875
35.12,-83.336,2824.784773
36.107,-82.104,1895.280795
35.263,-80.854,4128.497614
35.053,-83.197,2596.326705
35.3,-82.626,3277.010568
35.761,-78.626,4109.085114
35.334,-81.865,3858.240682
36.017,-82.199,2833.906932
36.336,-81.56,2476.443182
36.705,-81.444,2441.735682
37.117,-75.97,4054.005568
36.702,-81.441,2455.105455
38.946,-77.384,3336.874432
35.944,-77.208,4195.898864
38.561,-79.01,2438.196136
39.226,-75.995,3507.760341
44.306,-73.245,2276.136364
41.47,-72.874,2698.282159
41.308,-72.929,2859.251023
42.011,-73.276,2332.976364
41.53,-72.334,2547.819659
44.436,-67.911,1947.729432
41.588,-71.868,2526.217955
41.831,-70.661,2545.446932
41.972,-73.162,2034.665682
44.429,-67.901,1935.984659
44.424,-67.893,1944.981136
43.962,-80.399,1876.004205
41.42,-72.67,2542.712841
41.268,-72.658,2837.215568
41.428,-72.836,2828.264432
41.58,-71.862,2526.217955
42.02,-73.467,1904.751932
41.996,-72.359,2295.701932
41.478,-72.265,2569.597386
41.29,-72.695,2826.015682
42.001,-72.834,2520.75375
41.115,-73.331,2980.4575
42.027,-73.159,2065.830568
41.19,-73.372,2848.69625
41.406,-72.906,2762.713523
41.326,-72.728,2723.680795
42.002,-72.972,2202.221932
41.973,-73.273,2017.061818
41.574,-73.053,2652.622273
41.967,-73.162,2072.741818
41.444,-72.582,2536.120795
41.406,-72.905,2762.713523
44.787,-68.815,2014.836705
42.06,-73.325,2354.174318
41.976,-73.357,2385.178182
42.513,-72.686,2229.769545
42.885,-72.545,2298.896477
44.53,-68.401,1999.893977
42.143,-84.016,2517.489318
42.096,-84.101,2500.371705
42.702,-83.398,2449.776591
41.343,-72.763,2748.985682
42.326,-72.728,2358.481932
41.925,-72.886,2217.581364
40.927,-74.96,2681.451364
41.75,-70.748,2607.999091
41.063,-75.36,2265.278068
41.086,-75.583,2192.811932
41.531,-72.727,2591.66125
44.648,-67.708,1895.992841
44.433,-67.909,1947.729432
44.396,-69.784,2061.731705
42.895,-72.986,1607.093636
42.846,-72.99,1656.286705
41.335,-72.913,2827.381477
41.331,-72.92,2823.503523
41.692,-71.82,2496.200682
41.408,-72.902,2762.713523
41.812,-72.071,2400.467614
41.661,-72.275,2525.336705
41.799,-72.068,2379.8625
41.417,-70.936,2624.234659
41.451,-70.922,2637.090909
41.471,-71.514,2534.151705
41.959,-73.202,2084.310114
49.014,-55.646,1317.528636
49.014,-55.645,1317.528636
49.02,-55.644,1317.528636
49.02,-55.645,1297.122386
49.008,-55.633,1363.203409
43.718,-72.268,2139.762614
43.543,-72.838,1675.267727
39.533,-74.687,3231.9925
40.058,-74.11,3106.669432
39.505,-74.613,3223.717614
39.516,-74.543,3217.115
39.34,-74.575,3247.336932
39.328,-74.504,3248.273977
39.936,-74.909,3274.883068
40.265,-75.804,3032.400795
39.467,-74.548,3220.569886
39.491,-74.532,3218.060795
39.29,-74.754,3283.068977
39.579,-75.092,3302.285795
37.46,-79.208,3447.82
42.407,-85.401,2559.564205
42.304,-71.123,2660.281818
42.154,-88.136,2604.19875
44.267,-72.573,2052.359773
44.353,-68.201,1926.745114
44.057,-73.289,2274.713409
44.686,-72.34,1835.746477
43.112,-72.613,1942.114205
44.195,-72.499,2025.227841
44.199,-72.494,1958.810341
44.197,-72.501,2025.227841
44.195,-72.494,2025.227841
44.16,-72.447,1867.155682
44.223,-72.503,1977.907045
44.248,-72.435,1826.836705
44.231,-72.457,1842.836136
44.204,-72.474,1891.667159
44.235,-72.516,1982.741705
44.202,-72.455,1774.436932
44.748,-72.176,1870.601591
44.751,-72.167,1826.913977
42.853,-73.173,2141.503182
42.884,-73.21,2187.884432
42.857,-72.602,2227.180568
42.832,-72.561,2268.687614
42.885,-72.557,2303.542727
44.451,-73.227,2322.120455
44.444,-73.229,2330.890682
44.477,-73.211,2298.036477
44.481,-73.193,2278.41125
45.01,-71.605,1709.934318
44.278,-73.282,2332.769545
44.278,-73.216,2181.057841
34.01,-81.074,4755.775114
44.049,-72.201,1955.122273
44.053,-72.192,1958.538295
44.684,-72.362,1840.526932
44.642,-72.369,1892.075682
44.948,-72.134,1855.572841
44.264,-72.497,2014.307159
44.676,-72.517,1824.32
44.919,-72.765,2128.509091
41.598,-70.835,2631.428977
44.182,-73.361,2340.725227
44.693,-72.29,1636.381023
44.317,-72.296,1754.878864
43.936,-72.96,1631.676818
43.53,-72.391,2192.876705
44.209,-73.036,1931.26875
43.691,-73.223,2071.005909
44.331,-72.948,1831.242955
44.939,-72.485,1725.297386
44.941,-72.467,1840.4975
44.453,-72.945,2053.773068
44.653,-72.741,2094.904886
43.218,-72.766,1881.863068
44.297,-72.395,1972.822159
44.315,-72.32,1792.0425
44.34,-72.372,1939.373182
44.356,-72.394,1835.480341
44.611,-73.212,2317.747045
44.273,-72.555,1948.968977
44.262,-72.575,2052.359773
44.287,-72.576,2033.578977
44.264,-72.57,2052.359773
44.262,-72.577,2052.359773
44.614,-72.502,1845.109659
44.576,-72.586,1982.274659
45.005,-71.798,1742.184205
44.995,-71.811,1738.992955
43.386,-73.212,2244.256136
41.958,-70.662,2596.741705
42.797,-73.264,2295.636932
42.063,-70.188,2579.344432
42.967,-72.523,2255.822727
43.185,-72.447,2237.541932
43.186,-72.452,2237.541932
43.826,-72.401,1744.596932
44.438,-73.177,2232.349659
43.298,-72.484,2176.923409
43.276,-72.413,2239.719886
43.261,-72.431,2250.496477
44.662,-72.071,1690.065455
44.921,-73.16,2260.377614
44.998,-72.401,2026.050568
43.875,-72.467,1897.145341
44.575,-72.922,1994.16
44.192,-73.34,2336.465682
42.758,-72.5,2321.437386
44.528,-71.815,1773.004545
44.475,-72.189,1574.492386
44.122,-72.842,1796.797841
38.889,-77.025,3598.393409
38.89,-77.035,3598.393409
44.332,-72.753,2127.906477
44.333,-72.731,2062.369545
41.359,-72.173,2696.413864
41.363,-72.182,2713.327841
41.883,-69.995,2508.267273
43.663,-73.395,2302.565682
44.78,-72.08,1772.353636
44.582,-72.198,1647.551591
44.426,-69.006,2047.842159
44.409,-68.248,2013.195114
43.339,-70.625,2215.878068
43.478,-70.565,2201.661364
43.514,-70.434,2195.074205
44.54,-68.443,2007.276364
41.672,-70.849,2624.823636
41.699,-70.111,2496.373523
44.907,-67.197,1805.913636
42.328,-72.747,2341.706818
42.293,-72.776,2293.982727
42.297,-72.786,2270.603864
43.643,-72.524,2048.394432
43.974,-80.724,1938.961136
43.718,-80.257,1992.729659
44.67,-75.896,2187.046136
43.471,-80.152,2111.216705
47.425,-84.484,1364.568409
48.587,-93.49,1731.793409
43.201,-79.815,2346.927273
45.493,-78.771,1612.402386
45.603,-78.403,1566.046591
45.575,-78.504,1653.186705
45.767,-78.501,1610.294318
45.469,-78.653,1619.862386
45.619,-78.856,1575.674432
45.501,-78.388,1658.583977
45.822,-78.759,1630.451818
45.586,-77.956,1586.05
45.858,-77.751,1816.012614
45.559,-78.577,1570.477159
45.565,-78.568,1561.833636
45.582,-78.392,1591.747841
44.133,-76.717,2249.070114
44.146,-76.789,2249.992841
42.851,-79.552,2390.876932
44.752,-78.085,1886.846591
43.572,-80.36,2070.468068
43.536,-80.167,2078.282159
43.668,-81.018,2073.3275
42.77,-80.976,2357.882614
44.387,-79.687,2111.067955
44.889,-79.805,2070.824432
44.167,-77.384,2233.5775
44.166,-77.454,2219.889091
44.19,-76.381,2242.656932
43.785,-80.307,1933.971364
43.375,-80.374,2146.817273
44.487,-80.304,2031.894773
48.8,-94.575,1798.646023
43.906,-78.675,2200.610909
43.826,-79.603,2248.291932
44.108,-79.559,2161.317386
43.685,-79.756,2202.810682
43.685,-79.367,2411.161023
44.038,-77.735,2189.7725
44.03,-77.777,2173.098182
44.592,-75.68,2237.307273
44.583,-75.683,2246.001136
45.191,-81.578,1880.331136
45.211,-81.556,1865.033409
45.213,-81.49,1844.476477
45.19,-81.421,1866.93375
43.317,-79.8,2454.310114
45.252,-81.293,1890.030341
43.383,-80.317,2155.522386
45.232,-81.59,1848.591932
43.486,-79.976,2142.942273
42.973,-79.736,2344.0025
45.135,-76.138,2095.918864
45.041,-78.692,1804.640682
42.741,-76.745,2568.32875
43.618,-79.383,2484.071136
46.018,-77.443,1917.156818
47.838,-83.402,1413.982955
48.75,-93.993,1745.062045
44.504,-76.037,2215.983182
44.539,-76.036,2206.060455
42.4,-82.183,2515.184886
42.408,-82.182,2513.024659
35.552,-83.493,1747.97
